task_id,type,timestamp,from_assignee,to_assignee
T0001,start,2025-06-25T09:00:00,,E040
T0001,end,2025-06-27T15:15:00,E040,
T0002,start,2025-06-27T18:00:00,,E006
T0002,handoff,2025-07-02T11:30:00,E006,E031
T0002,end,2025-07-04T10:45:00,E031,
T0003,start,2025-06-29T15:57:00,,E021
T0003,end,2025-07-01T15:45:00,E021,
T0004,start,2025-07-05T18:00:00,,E021
T0004,handoff,2025-07-10T10:00:00,E021,E003
T0004,handoff,2025-07-11T11:45:00,E003,E021
T0004,end,2025-07-11T12:45:00,E021,
T0005,start,2025-07-09T18:00:00,,E037
T0005,handoff,2025-07-10T14:15:00,E037,E020
T0005,handoff,2025-07-11T11:45:00,E020,E037
T0005,end,2025-07-16T13:15:00,E037,
T0006,start,2025-07-13T09:00:00,,E021
T0006,end,2025-07-15T16:30:00,E021,
T0007,start,2025-07-18T14:02:00,,E015
T0007,end,2025-07-20T12:30:00,E015,
T0008,start,2025-07-18T18:00:00,,E017
T0008,end,2025-07-23T12:45:00,E017,
T0009,start,2025-07-14T09:00:00,,E022
T0009,handoff,2025-07-14T10:15:00,E022,E025
T0009,handoff,2025-07-14T13:30:00,E025,E024
T0009,end,2025-07-21T10:45:00,E024,
T0010,start,2025-07-17T15:49:00,,E023
T0010,end,2025-07-22T14:45:00,E023,
T0011,start,2025-07-20T18:00:00,,E008
T0011,end,2025-07-24T10:15:00,E008,
T0012,start,2025-07-24T13:48:00,,E022
T0012,handoff,2025-07-24T15:30:00,E022,E025
T0012,end,2025-07-26T10:15:00,E025,
T0013,start,2025-07-25T15:27:00,,E039
T0013,end,2025-07-26T11:45:00,E039,
T0014,start,2025-07-27T18:00:00,,E012
T0014,end,2025-07-30T10:30:00,E012,
T0015,start,2025-07-30T18:00:00,,E008
T0015,end,2025-08-04T11:00:00,E008,
T0016,start,2025-08-06T09:00:00,,E031
T0016,end,2025-08-10T10:45:00,E031,
T0017,start,2025-08-09T12:33:00,,E010
T0017,end,2025-08-11T15:15:00,E010,
T0018,start,2025-08-11T09:00:00,,E038
T0018,end,2025-08-17T13:30:00,E038,
T0019,start,2025-08-26T13:40:00,,E026
T0019,handoff,2025-08-26T10:15:00,E026,E036
T0019,handoff,2025-08-27T13:30:00,E036,E010
T0019,end,2025-08-30T14:15:00,E036,
T0020,start,2025-08-26T14:38:00,,E007
T0020,end,2025-08-29T13:45:00,E007,
T0021,start,2025-08-27T09:00:00,,E015
T0021,end,2025-08-28T13:00:00,E015,
T0022,start,2025-08-29T09:00:00,,E036
T0022,end,2025-08-30T14:15:00,E036,
T0023,start,2025-08-31T14:42:00,,E037
T0023,end,2025-09-01T10:00:00,E037,
T0024,start,2025-08-30T18:00:00,,E030
T0024,end,2025-09-04T14:00:00,E030,
T0025,start,2025-09-05T18:00:00,,E033
T0025,end,2025-09-08T10:45:00,E033,
T0026,start,2025-09-07T10:22:00,,E033
T0026,end,2025-09-11T15:30:00,E033,
T0027,start,2025-09-13T09:00:00,,E031
T0027,end,2025-09-14T13:30:00,E031,
T0028,start,2025-09-14T09:08:00,,E038
T0028,handoff,2025-09-18T10:45:00,E038,E028
T0028,end,2025-09-19T12:00:00,E028,
T0029,start,2025-09-16T09:00:00,,E039
T0029,end,2025-09-18T10:45:00,E039,
T0030,start,2025-09-16T18:00:00,,E012
T0030,handoff,2025-09-17T10:00:00,E012,E033
T0030,end,2025-09-17T13:45:00,E033,
T0031,start,2025-09-11T09:02:00,,E003
T0031,end,2025-09-12T12:15:00,E003,
T0032,start,2025-09-12T15:08:00,,E003
T0032,end,2025-09-14T15:30:00,E003,
T0033,start,2025-09-11T18:00:00,,E003
T0033,end,2025-09-14T13:00:00,E003,
T0034,start,2025-09-16T18:00:00,,E008
T0034,handoff,2025-09-17T11:45:00,E008,E018
T0034,handoff,2025-09-18T15:45:00,E018,E021
T0034,handoff,2025-09-22T10:15:00,E021,E040
T0034,handoff,2025-09-23T10:15:00,E040,E021
T0034,handoff,2025-09-26T16:00:00,E021,E040
T0034,end,2025-10-04T13:15:00,E040,
T0035,start,2025-09-18T09:00:00,,E030
T0035,handoff,2025-09-18T13:45:00,E030,E020
T0035,handoff,2025-09-19T11:45:00,E020,E033
T0035,handoff,2025-09-20T11:30:00,E020,E021
T0035,handoff,2025-09-25T16:45:00,E021,E001
T0035,handoff,2025-09-26T12:00:00,E001,E021
T0035,handoff,2025-09-29T15:45:00,E021,E001
T0035,end,2025-10-04T13:45:00,E001,
T0036,start,2025-09-17T09:00:00,,E021
T0036,handoff,2025-09-18T14:00:00,E021,E020
T0036,handoff,2025-09-22T14:30:00,E020,E040
T0036,handoff,2025-09-24T10:30:00,E040,E020
T0036,end,2025-09-24T13:30:00,E020,
T0037,start,2025-09-20T10:14:00,,E028
T0037,end,2025-09-22T13:30:00,E028,
T0038,start,2025-09-25T15:11:00,,E033
T0038,end,2025-09-29T16:45:00,E033,
T0039,start,2025-09-26T16:45:00,,E019
T0039,handoff,2025-09-27T13:30:00,E019,E020
T0039,end,2025-09-30T15:00:00,E020,
T0040,start,2025-10-02T17:39:00,,E002
T0040,end,2025-10-04T11:15:00,E002,
T0041,start,2025-10-05T18:00:00,,E032
T0041,end,2025-10-08T16:45:00,E032,
T0042,start,2025-10-09T09:00:00,,E032
T0042,end,2025-10-11T10:30:00,E032,
T0043,start,2025-10-08T13:29:00,,E019
T0043,end,2025-10-11T15:15:00,E019,
T0044,start,2025-10-10T18:00:00,,E033
T0044,handoff,2025-10-11T16:00:00,E033,E031
T0044,handoff,2025-10-13T12:15:00,E031,E032
T0044,end,2025-10-24T16:00:00,E032,
T0045,start,2025-10-11T17:18:00,,E029
T0045,end,2025-10-13T16:00:00,E029,
T0046,start,2025-10-01T09:08:00,,E039
T0046,end,2025-10-02T14:00:00,E039,
T0047,start,2025-10-01T09:00:00,,E008
T0047,handoff,2025-10-01T12:15:00,E008,E030
T0047,end,2025-10-05T10:15:00,E030,
T0048,start,2025-10-02T09:16:00,,E022
T0048,end,2025-10-03T13:00:00,E022,
T0049,start,2025-10-03T13:21:00,,E031
T0049,end,2025-10-04T12:45:00,E031,
T0050,start,2025-10-04T09:00:00,,E009
T0050,handoff,2025-10-04T13:15:00,E009,E037
T0050,handoff,2025-10-05T13:45:00,E037,E021
T0050,handoff,2025-10-06T16:30:00,E021,E037
T0050,end,2025-10-11T10:00:00,E037,
T0051,start,2025-10-07T09:00:00,,E023
T0051,end,2025-10-15T16:15:00,E023,
T0052,start,2025-10-19T15:45:00,,E005
T0052,handoff,2025-10-22T12:00:00,E005,E031
T0052,end,2025-10-27T12:00:00,E031,
T0053,start,2025-10-21T18:00:00,,E022
T0053,handoff,2025-10-21T15:45:00,E022,E023
T0053,handoff,2025-10-22T12:45:00,E023,E024
T0053,end,2025-10-24T10:30:00,E024,
T0054,start,2025-10-24T11:26:00,,E012
T0054,end,2025-10-24T15:15:00,E012,
T0055,start,2025-10-27T09:00:00,,E030
T0055,end,2025-10-28T12:15:00,E030,
T0056,start,2025-10-25T18:00:00,,E036
T0056,handoff,2025-10-26T14:30:00,E036,E030
T0056,handoff,2025-10-27T12:30:00,E030,E032
T0056,end,2025-10-31T14:30:00,E032,
T0057,start,2025-11-01T18:00:00,,E008
T0057,handoff,2025-11-02T12:00:00,E008,E031
T0057,end,2025-11-04T12:15:00,E031,
T0058,start,2025-11-03T11:07:00,,E034
T0058,end,2025-11-04T14:15:00,E034,
T0059,start,2025-11-03T16:14:00,,E024
T0059,end,2025-11-06T16:45:00,E024,
T0060,start,2025-11-03T09:00:00,,E004
T0060,handoff,2025-11-04T11:45:00,E004,E011
T0060,handoff,2025-11-05T12:45:00,E011,E039
T0060,end,2025-11-07T14:45:00,E011,
T0061,start,2025-12-30T15:09:00,,E031
T0062,start,2025-12-31T09:00:00,,E011
T0063,start,2026-01-01T18:00:00,,E009
T0063,handoff,2026-01-02T15:45:00,E009,E035
T0063,handoff,2026-01-04T14:00:00,E035,E014
T0064,start,2026-01-02T09:00:00,,E015
T0065,start,2026-01-01T09:49:00,,E011
T0065,handoff,2026-01-02T12:00:00,E011,E026
T0066,start,2025-12-30T12:26:00,,E023
T0066,handoff,2025-12-30T14:15:00,E023,E024
T0066,handoff,2025-12-31T12:30:00,E024,E025
T0066,handoff,2026-01-01T13:00:00,E025,E023
T0067,start,2026-01-08T09:00:00,,E020
T0067,handoff,2026-01-09T11:15:00,E020,E026
T0068,start,2026-01-13T09:00:00,,E030
T0069,start,2026-01-14T14:02:00,,E023
T0069,handoff,2026-01-14T16:00:00,E023,E022
T0069,handoff,2026-01-14T14:45:00,E022,E023
T0070,start,2026-01-14T13:25:00,,E012
T0070,end,2026-01-17T15:45:00,E012,
T0071,start,2026-01-17T17:36:00,,E006
T0071,end,2026-01-18T13:15:00,E006,
T0072,start,2026-01-21T09:22:00,,E025
T0072,end,2026-01-23T10:45:00,E025,
T0073,start,2026-01-23T09:00:00,,E011
T0073,end,2026-01-24T12:00:00,E011,
T0074,start,2026-01-25T17:13:00,,E031
T0075,start,2026-01-25T10:24:00,,E008
T0076,start,2026-01-22T18:00:00,,E006
T0076,handoff,2026-01-22T14:30:00,E006,E038
T0076,handoff,2026-01-28T11:00:00,E038,E028
T0077,start,2026-01-26T14:26:00,,E034
T0078,start,2026-01-28T12:06:00,,E031
T0078,handoff,2026-01-29T10:00:00,E031,E038
T0079,start,2026-01-29T09:00:00,,E002
T0080,start,2026-01-26T11:59:00,,E034
T0080,handoff,2026-01-26T16:45:00,E034,E038
T0080,handoff,2026-01-30T13:00:00,E038,E028
T0081,start,2026-01-29T15:12:00,,E031
T0082,start,2026-01-31T09:00:00,,E002
T0082,handoff,2026-02-01T12:45:00,E002,E037
T0083,start,2026-02-01T09:00:00,,E007
T0083,handoff,2026-02-02T11:30:00,E007,E039
T0083,handoff,2026-02-03T16:00:00,E039,E010
T0084,start,2026-02-03T18:00:00,,E038
T0085,start,2026-02-06T09:00:00,,E033
T0085,end,2026-02-09T10:30:00,E033,
T0086,start,2026-02-07T15:59:00,,E004
T0086,handoff,2026-02-08T13:00:00,E004,E031
T0086,end,2026-02-11T16:00:00,E031,
T0087,start,2026-02-07T12:56:00,,E016
T0087,end,2026-02-13T16:45:00,E016,
T0088,start,2026-02-11T18:00:00,,E018
T0088,handoff,2026-02-12T13:45:00,E018,E038
T0088,handoff,2026-02-15T10:30:00,E038,E028
T0088,end,2026-02-17T13:45:00,E028,
T0089,start,2026-02-13T15:07:00,,E033
T0090,start,2026-02-13T18:00:00,,E010
T0091,start,2026-02-16T09:00:00,,E031
T0091,handoff,2026-02-18T11:45:00,E031,E032
T0092,start,2026-02-17T14:01:00,,E040
T0093,start,2026-02-19T09:00:00,,E025
T0094,start,2026-02-19T18:00:00,,E001
T0094,handoff,2026-02-20T16:45:00,E001,E015
T0094,handoff,2026-02-24T16:15:00,E015,E040
T0094,handoff,2026-02-26T12:00:00,E040,E015
T0094,handoff,2026-03-01T15:00:00,E015,E040
T0095,start,2026-02-21T09:00:00,,E021
T0095,handoff,2026-02-26T12:45:00,E021,E005
T0095,handoff,2026-02-27T14:30:00,E005,E021
T0096,start,2026-02-21T11:16:00,,E006
T0096,handoff,2026-02-23T11:15:00,E006,E031
T0097,start,2026-02-23T09:00:00,,E039
T0097,handoff,2026-02-24T15:00:00,E039,E021
T0097,handoff,2026-03-01T10:00:00,E021,E001
T0097,handoff,2026-03-02T13:45:00,E001,E021
T0097,handoff,2026-03-06T14:00:00,E021,E001
T0097,handoff,2026-03-07T14:00:00,E001,E021
T0098,start,2026-02-24T15:08:00,,E032
T0099,start,2026-02-26T09:00:00,,E012
T0100,start,2026-02-28T09:00:00,,E030
T0100,end,2026-03-01T12:45:00,E030,
T0101,start,2026-02-27T09:00:00,,E006
T0101,end,2026-03-01T13:15:00,E006,
T0102,start,2026-03-01T09:00:00,,E030
T0102,end,2026-03-02T10:00:00,E030,
T0103,start,2026-02-28T09:00:00,,E031
T0103,end,2026-03-03T13:00:00,E031,
T0104,start,2026-03-05T09:00:00,,E039
T0105,start,2026-03-03T09:00:00,,E018
T0105,handoff,2026-03-04T11:00:00,E018,E031
T0106,start,2026-03-19T09:00:00,,E011
T0107,start,2026-03-26T10:43:00,,E032
T0107,handoff,2026-03-26T10:15:00,E032,E001
T0108,start,2026-03-26T09:00:00,,E020
T0109,start,2026-03-29T09:13:00,,E018
T0110,start,2026-03-27T09:00:00,,E033
T0111,start,2026-03-30T09:00:00,,E020
T0112,start,2026-03-23T17:32:00,,E022
T0112,handoff,2026-03-23T10:15:00,E022,E023
T0113,start,2026-03-29T14:18:00,,E026
T0114,start,2026-04-03T09:00:00,,E022
T0114,handoff,2026-04-03T16:00:00,E022,E024
T0115,start,2026-04-06T12:13:00,,E028
T0115,handoff,2026-04-06T16:30:00,E028,E002
T0115,end,2026-04-08T13:45:00,E002,
T0116,start,2026-04-06T09:00:00,,E031
T0116,end,2026-04-07T15:15:00,E031,
T0117,start,2026-04-07T09:00:00,,E027
T0117,handoff,2026-04-08T13:30:00,E027,E030
T0117,handoff,2026-04-09T12:00:00,E030,E038
T0117,handoff,2026-04-15T12:45:00,E030,E032
T0117,end,2026-04-19T13:00:00,E032,
T0118,start,2026-04-07T14:58:00,,E031
T0118,end,2026-04-10T12:30:00,E031,
T0119,start,2026-04-07T18:00:00,,E039
T0120,start,2026-04-12T09:00:00,,E031
