id,project_id,name,skill_needed,est_hours,assignee,start,due,status
T0001,P001,"Kickoff + align success metrics (refund time, ticket rate, CSAT)",KPI definition,7,E020,2025-06-27T09:00:00,2025-06-28T14:15:00,completed
T0002,P001,Audit current returns flows + policy touchpoints (site + email + help center),Journey mapping,9,E010,2025-06-28T09:00:00,2025-06-29T11:15:00,completed
T0003,P001,Pull baseline returns drivers + ticket tags analysis,CSAT analysis,16,E027,2025-06-30T11:16:00,2025-07-03T15:00:00,completed
T0004,P001,Map event tracking gaps for returns funnel (view policy → start return → label),Event tracking specs,12,E015,2025-07-04T13:26:00,2025-07-07T11:00:00,completed
T0005,P001,Draft updated returns policy copy + tone guidelines,Brand voice,11,E002,2025-07-07T09:00:00,2025-07-09T14:30:00,completed
T0006,P001,Legal review of policy wording + claims substantiation,Legal review,11,E032,2025-07-17T18:00:00,2025-07-19T13:30:00,completed
T0007,P001,"Design self-serve returns IA + new entry points (order page, email)",Information architecture,10,E011,2025-07-17T14:29:00,2025-07-19T14:15:00,completed
T0008,P001,Create Figma prototypes for new returns UX (refund/exchange paths),Prototyping,6,E012,2025-07-20T17:15:00,2025-07-21T16:15:00,completed
T0009,P001,"Write PRD + requirements + edge cases (partial refunds, bundles, final sale)",PRDs,7,E026,2025-07-21T16:19:00,2025-07-22T16:30:00,completed
T0010,P001,Implement returns UX updates in storefront/account,Shopify Liquid,36,E009,2025-07-15T10:50:00,2025-07-24T16:15:00,completed
T0011,P001,Integrate returns logic with backend/refund workflows,REST APIs,20,E016,2025-07-24T12:19:00,2025-07-29T14:15:00,completed
T0012,P001,Update Zendesk macros/automation + KB articles for new policy,Macros & automation,7,E008,2025-07-28T09:00:00,2025-07-29T15:15:00,completed
T0013,P001,QA end-to-end returns flow + support escalation scenarios,QA rubrics,7,E004,2025-07-30T18:00:00,2025-08-01T11:30:00,completed
T0014,P001,Launch plan + internal enablement (CX training + comms),Training enablement,5,E028,2025-08-01T11:31:00,2025-08-02T10:45:00,completed
T0015,P001,Post-launch monitoring + iterate based on ticket/returns metrics,Dashboards,16,E033,2025-07-31T16:01:00,2025-08-04T13:45:00,completed
T0016,P002,"Kickoff with Ops + define target metrics (pick rate, travel time, mis-picks)",KPI tracking,15,E027,2025-08-17T09:00:00,2025-08-20T15:15:00,completed
T0017,P002,Extract top-SKU velocity + ABC classification for peak assortment,Data modeling,12,E020,2025-08-18T18:00:00,2025-08-21T12:30:00,completed
T0018,P002,Analyze current pick paths + congestion zones,Root cause analysis,6,E005,2025-08-21T09:00:00,2025-08-22T11:15:00,completed
T0019,P002,Propose new slotting strategy + zone layout changes,Warehouse slotting,20,E025,2025-08-27T18:00:00,2025-08-30T15:45:00,completed
T0020,P002,"Validate constraints (hazmat, fragility, replenishment cadence)",Constraint management,6,E033,2025-09-01T18:00:00,2025-09-03T10:15:00,completed
T0021,P002,Coordinate with Merch on peak assortment changes + substitutions,Stakeholder management,13,E024,2025-08-31T09:00:00,2025-09-03T13:15:00,completed
T0022,P002,Create re-slotting SOP + safety checklist,SOP documentation,6,E025,2025-09-03T15:02:00,2025-09-04T14:00:00,completed
T0023,P002,Labor plan for re-slotting weekend/overnight shifts,Labor planning,6,E024,2025-09-04T16:44:00,2025-09-05T16:00:00,completed
T0024,P002,Pilot re-slotting in 1 zone + capture before/after performance,Process improvement,15,E025,2025-09-08T10:08:00,2025-09-10T14:45:00,completed
T0025,P002,Update WMS location mappings + bin labels,WMS basics,8,E020,2025-09-11T09:00:00,2025-09-12T11:45:00,completed
